id	date	temp	rel_hum	par	flag
site_1	2018-01-01	-0.82	81	273	
site_1	2018-01-02	-6.5	71.6	242	
site_1	2018-01-03	-4.58	92.4	255	
site_1	2018-01-04	-3.3	97.9	433	G
site_1	2018-01-05	2.5	98.9	217	G
site_1	2018-01-06	-4.29	99.1	347	
site_1	2018-01-07	-5.13	76.4	313	
site_1	2018-01-08	-8.43	NA	408	
site_1	2018-01-09	2.75	86.1	415	
site_1	2018-01-10	3.78	91	211	
site_1	2018-01-11	-2.96	93.6	258	
site_1	2018-01-12	0.75	92.3	497	
site_1	2018-01-13	-0.72	73.5	255	A
site_1	2018-01-14	-0.02	85.7	312	
site_1	2018-01-15	-5	95.1	306	
site_1	2018-01-16	-4.88	93	278	
site_1	2018-01-17	0.82	98.2	206	
site_1	2018-01-18	-6.37	76	315	
site_1	2018-01-18	-6.37	76	315	
site_1	2018-01-19	-5.84	93.6	258	
site_1	2018-01-20	2.75	94.8	294	
site_1	2018-01-21	2.53	88.4	282	
site_1	2018-01-22	-6.61	85.1	250	
site_1	2018-01-23	0.58	96.5	329	
site_1	2018-01-24	2.66	82.3	328	
site_1	2018-01-25	-2.98	95.3	223	
site_1	2018-01-26	3.27	81.7	204	
site_1	2018-01-27	-5.18	76.7	350	
site_1	2018-01-28	-3.67	NaN	380	
site_1	2018-01-29	-1.87	79.6	209	B
site_1	2018-01-30	3.95	73.1	374	
site_1	2018-01-31	-9.67	87	356	
site_2	2018-01-01	-5.24	78.5	450	
site_2	2018-01-02	-9.86	80.5	264	
site_2	2018-01-03	-3.31	85.1	436	
site_2	2018-01-04	-9.28	82.7	463	
site_2	2018-01-05	-1.56	79.3	249	
site_2	2018-01-06	-1.19	75.8	456	
site_2	2018-01-07	2.83	100.7	203	
site_2	2018-01-08	-1.09	97.2	213	
site_2	2018-01-09	-5.98	82	419	
site_2	2018-01-10	1.29	85.2	327	
site_2	2018-01-11	-1.49	82.6	293	
site_2	2018-01-12	-3.31	85.8	476	
site_2	2018-01-13	-4.81	96.7	271	
site_2	2018-01-14	1.29	74.2	487	
site_2	2018-01-14	1.29	74.2	487	
site_2	2018-01-14	1.29	74.2	487	
site_2	2018-01-15	-6.58	80.1	396	
site_2	2018-01-16	1.08	89.8	453	
site_2	2018-01-17	-4.78	79.4	463	
site_2	2018-01-18	2.33	88.5	406	
site_2	2018-01-19	-7.16	72.5	371	
site_2	2018-01-20	-5.97	71.3	358	
site_2	2018-01-21	-1.09	86.6	309	
site_2	2018-01-22	-5.14	-	200	
site_2	2018-01-23	2.33	74.1	300	
site_2	2018-01-24	1.29	85.4	228	
site_2	2018-01-25	2.83	.	417	
site_2	2018-01-26	0.92	81.4	478	
site_2	2018-01-27	-1.74	74.7	sensor fail	
site_2	2018-01-28	-4.2	86.9	447	
site_2	2018-01-29	-8.96	73.2	387	
site_2	2018-01-30	-4.48	81.7	276	
site_2	2018-01-31	-99999	74.6	500	
site_3	2018-01-01	2.51	77.7	239	
site_3	2018-01-02	-9.05	87.6	377	
site_3	2018-01-03	-3.27	92.3	209	
site_3	2018-01-04	0.29	100.2	471	
site_3	2018-01-05	-9.33	72.4	288	
site_3	2018-01-06	.	80.5	247	G
site_3	2018-01-07	-0.59	93.4	337	
site_3	2018-01-08	-8.05	82.9	205	
site_3	2018-01-09	-8.89	96.7	219	
site_3	2018-01-10	-2.52	78.2	367	
site_3	2018-01-11	-7.58	76.1	dog ate this data point	
site_3	2018-01-12	-4.93	87.4	440	
site_3	2018-01-13	-0.74	84.7	266	
site_3	2018-01-14	-0.9	84.2	411	
site_3	2018-01-15	-4.4	99.3	322	
site_3	2018-01-16	1.18	94.9	216	
site_3	2018-01-17	0.23	86.8	487	
site_3	2018-01-18	-9.07	73.3	264	
site_3	2018-01-19	-1.31	83.8	403	
site_3	2018-01-20	-1.41	85	493	
site_3	2018-01-21	3.86	80.1	318	
site_3	2018-01-22	3.03	96.4	488	
site_3	2018-01-23	3.69	70.3	401	
site_3	2018-01-24	4.6e	76.5	249	
site_3	2018-01-25	3.51	86.4	237	
site_3	2018-01-26	-8.26	93.5	374	
site_3	2018-01-27	-5.13	93	353	
site_3	2018-01-28	0.15	95.6	499	
site_3	2018-01-29	3.66	84.8	418	
site_3	2018-01-30	-5.53	80.4	475	
site_3	2018-01-31	-7.17	89.7	224	
