id	date	temperature	relative_humidity	photosynthetically_active_radiation
site_1	"	2017-12-01		"	-2.73	70.1	351
site_1	"	2017-12-02		"	-0.22	73	272
site_1	"	2017-12-03		"	-6.53	95	409
site_1	"	2017-12-04		"	-6.21	99.7	467
site_1	"	2017-12-05		"	-4.05	86.9	228
site_1	"	2017-12-06		"	-1.68	94.6	477
site_1	"	2017-12-07		"	-7.26	94.1	437
site_1	"	2017-12-08		"	-1.35	95.4	304
site_1	"	2017-12-09		"	1.76	91.1	495
site_1	"	2017-12-10		"	-8.43	79.4	326
site_1	"	2017-12-11		"	1.02	87.2	212
site_1	"	2017-12-12		"	-0.7	79.4	278
site_1	"	2017-12-13		"	2.59	81.3	441
site_1	"	2017-12-14		"	-7.71	77.8	459
site_1	"	2017-12-15		"	2.17	97.4	492
site_1	"	2017-12-16		"	-4.61	98.1	463
site_1	"	2017-12-17		"	-6.75	70.3	369
site_1	"	2017-12-18		"	-3.59	87	275
site_1	"	2017-12-19		"	-9.85	82.9	261
site_1	"	2017-12-20		"	0.18	84.9	290
site_1	"	2017-12-21		"	-8.31	98.7	234
site_1	"	2017-12-22		"	-7.31	89.9	347
site_1	"	2017-12-23		"	1.61	88.8	430
site_1	"	12-24-17		"	0.97	88.2	298
site_1	"	12-25-17		"	-3.22	82.7	474
site_1	"	12-26-17		"	-2.72	87.2	212
site_1	"	12-27-17		"	0.74	95.5	266
site_1	"	12-28-17		"	1.98	94	335
site_1	"	12-29-17		"	-9.33	90	287
site_1	"	12-30-17		"	-0.75	81.5	221
site_1	"	12-31-17		"	0.16	73.1	225
site_2	"	2017-12-01		"	-4.47	94	413
site_2	"	2017-12-02		"	-7.8	79.6	431
site_2	"	2017-12-03		"	-7.95	85	424
site_2	"	2017-12-04		"	0.93	71.7	443
site_2	"	2017-12-05		"	-7.86	99.1	388
site_2	"	2017-12-06		"	-5.83	98.1	423
site_2	"	2017-12-07		"	-9.03	74.6	427
site_2	"	2017-12-08		"	-4.65	76.2	381
site_2	"	2017-12-09		"	-0.7	88.8	207
site_2	"	2017-12-10		"	0.2	77.7	462
site_2	"	2017-12-11		"	-9.88	87.3	211
site_2	"	2017-12-12		"	-7.53	100.1	365
site_2	"	2017-12-13		"	-5.2	91.5	288
site_2	"	2017-12-14		"	-4.15	99	437
site_2	"	2017-12-15		"	3.03	92.3	274
site_2	"	2017-12-16		"	3.62	93.2	391
site_2	"	2017-12-17		"	3.16	96.8	321
site_2	"	2017-12-18		"	-8.26	98.7	368
site_2	"	2017-12-19		"	2.65	85.6	493
site_2	"	2017-12-20		"	-9.36	73.6	488
site_2	"	2017-12-21		"	-4.62	73.5	299
site_2	"	2017-12-22		"	1.35	77.7	390
site_2	"	2017-12-23		"	-0.64	97.2	272
site_2	"	12-24-17		"	-7.19	92.1	435
site_2	"	12-25-17		"	1.23	92.3	355
site_2	"	12-26-17		"	-4.86	94.5	249
site_2	"	12-27-17		"	-6.41	81.3	498
site_2	"	12-28-17		"	-8.68	75.3	469
site_2	"	12-29-17		"	-0.53	73.4	364
site_2	"	12-30-17		"	0.34	100.2	204
site_2	"	12-31-17		"	-6.84	100.1	354
site_3	"	2017-12-01		"	-3.04	98.4	424
site_3	"	2017-12-02		"	0.86	74.8	258
site_3	"	2017-12-03		"	-9.22	92.5	276
site_3	"	2017-12-04		"	-9.85	87.2	215
site_3	"	2017-12-05		"	-9.13	88.6	435
site_3	"	2017-12-06		"	-1.6	75.4	398
site_3	"	2017-12-07		"	2.89	83.9	297
site_3	"	2017-12-08		"	3.74	86.2	286
site_3	"	2017-12-09		"	-3.15	83.2	232
site_3	"	2017-12-10		"	-9.85	99.6	322
site_3	"	2017-12-11		"	-6.01	78.9	268
site_3	"	2017-12-12		"	-2.34	92.5	212
site_3	"	2017-12-13		"	-1.15	100.5	243
site_3	"	2017-12-14		"	-8.59	96	370
site_3	"	2017-12-15		"	-1.32	74.6	263
site_3	"	2017-12-16		"	-9.05	92.6	383
site_3	"	2017-12-17		"	2.69	97.4	331
site_3	"	2017-12-18		"	2.99	97	363
site_3	"	2017-12-19		"	-9.93	91.7	282
site_3	"	2017-12-20		"	-0.06	79.3	380
site_3	"	2017-12-21		"	-2.23	96.9	321
site_3	"	2017-12-22		"	-0.77	94.8	492
site_3	"	2017-12-23		"	3.69	84.2	359
site_3	"	12-24-17		"	-7.61	78.1	363
site_3	"	12-25-17		"	-2.71	77	261
site_3	"	12-26-17		"	-1.68	94.9	474
site_3	"	12-27-17		"	-3.92	91.8	258
site_3	"	12-28-17		"	-5.79	85.5	362
site_3	"	12-29-17		"	-6.24	92.1	332
site_3	"	12-30-17		"	-7.3	73.3	405
site_3	"	12-31-17		"	-2.51	92.4	333
